_________________________________________________________________
|---N of Coord--|-------x-------|-------y-------|-------z-------|
|            167|        285.873|       -319.722|              0|
|            168|        344.699|       -319.722|              0|
|            169|         415.29|       -319.722|              0|
|            170|            500|       -319.722|              0|
|            171|           -500|       -255.623|              0|
|            172|       -399.845|       -255.623|              0|
|            173|       -319.722|       -255.623|              0|
|            174|       -255.623|       -255.623|              0|
|            175|       -204.343|       -255.623|              0|
|            176|        -163.32|       -255.623|              0|
|            177|       -130.501|       -255.623|              0|
|            178|       -104.246|       -255.623|              0|
|            179|       -83.2423|       -255.623|              0|
|            180|       -66.4392|       -255.623|              0|
|            181|       -52.9966|       -255.623|              0|
|            182|       -42.2426|       -255.623|              0|
|            183|       -33.6394|       -255.623|              0|
|            184|       -26.7568|       -255.623|              0|
|            185|       -21.2507|       -255.623|              0|
|            186|       -16.8459|       -255.623|              0|
|            187|        -13.322|       -255.623|              0|
|            188|       -10.5029|       -255.623|              0|
|            189|       -8.24761|       -255.623|              0|
|            190|       -6.44338|       -255.623|              0|
|            191|             -5|       -255.623|              0|
|            192|          -4.25|       -255.623|              0|
|            193|           -3.5|       -255.623|              0|
|            194|          -2.75|       -255.623|              0|
|            195|             -2|       -255.623|              0|
|            196|           -1.5|       -255.623|              0|
|            197|             -1|       -255.623|              0|
|            198|           -0.5|       -255.623|              0|
|            199|              0|       -255.623|              0|
|            200|            0.5|       -255.623|              0|
|            201|              1|       -255.623|              0|
|            202|            1.5|       -255.623|              0|
|            203|              2|       -255.623|              0|
|            204|           2.75|       -255.623|              0|
|            205|            3.5|       -255.623|              0|
|            206|           4.25|       -255.623|              0|
|            207|              5|       -255.623|              0|
|            208|        7.65148|       -255.623|              0|
|            209|        10.8333|       -255.623|              0|
|            210|        14.6514|       -255.623|              0|
|            211|        19.2332|       -255.623|              0|
|            212|        24.7313|       -255.623|              0|
|            213|         31.329|       -255.623|              0|
|            214|        39.2463|       -255.623|              0|
|            215|         48.747|       -255.623|              0|
|            216|        60.1479|       -255.623|              0|
|            217|         73.829|       -255.623|              0|
|            218|        90.2463|       -255.623|              0|
|            219|        109.947|       -255.623|              0|
|            220|        133.588|       -255.623|              0|
|            221|        161.957|       -255.623|              0|
|            222|            196|       -255.623|              0|
|            223|        236.851|       -255.623|              0|
|            224|        285.873|       -255.623|              0|
|            225|        344.699|       -255.623|              0|
|            226|         415.29|       -255.623|              0|
|            227|            500|       -255.623|              0|
|            228|           -500|       -204.343|              0|
|            229|       -399.845|       -204.343|              0|
|            230|       -319.722|       -204.343|              0|
|            231|       -255.623|       -204.343|              0|
|            232|       -204.343|       -204.343|              0|
|            233|        -163.32|       -204.343|              0|
|            234|       -130.501|       -204.343|              0|
|            235|       -104.246|       -204.343|              0|
|            236|       -83.2423|       -204.343|              0|
|            237|       -66.4392|       -204.343|              0|
|            238|       -52.9966|       -204.343|              0|
|            239|       -42.2426|       -204.343|              0|
|            240|       -33.6394|       -204.343|              0|
|            241|       -26.7568|       -204.343|              0|
|            242|       -21.2507|       -204.343|              0|
|            243|       -16.8459|       -204.343|              0|
|            244|        -13.322|       -204.343|              0|
|            245|       -10.5029|       -204.343|              0|
|            246|       -8.24761|       -204.343|              0|
|            247|       -6.44338|       -204.343|              0|
|            248|             -5|       -204.343|              0|
|            249|          -4.25|       -204.343|              0|
|            250|           -3.5|       -204.343|              0|
|            251|          -2.75|       -204.343|              0|
|            252|             -2|       -204.343|              0|
|            253|           -1.5|       -204.343|              0|
|            254|             -1|       -204.343|              0|
|            255|           -0.5|       -204.343|              0|
|            256|              0|       -204.343|              0|
|            257|            0.5|       -204.343|              0|
|            258|              1|       -204.343|              0|
|            259|            1.5|       -204.343|              0|
|            260|              2|       -204.343|              0|
|            261|           2.75|       -204.343|              0|
|            262|            3.5|       -204.343|              0|
|            263|           4.25|       -204.343|              0|
|            264|              5|       -204.343|              0|
|            265|        7.65148|       -204.343|              0|
|            266|        10.8333|       -204.343|              0|
|            267|        14.6514|       -204.343|              0|
|            268|        19.2332|       -204.343|              0|
|            269|        24.7313|       -204.343|              0|
|            270|         31.329|       -204.343|              0|
|            271|        39.2463|       -204.343|              0|
|            272|         48.747|       -204.343|              0|
|            273|        60.1479|       -204.343|              0|
|            274|         73.829|       -204.343|              0|
|            275|        90.2463|       -204.343|              0|
|            276|        109.947|       -204.343|              0|
|            277|        133.588|       -204.343|              0|
|            278|        161.957|       -204.343|              0|
|            279|            196|       -204.343|              0|
|            280|        236.851|       -204.343|              0|
|            281|        285.873|       -204.343|              0|
|            282|        344.699|       -204.343|              0|
|            283|         415.29|       -204.343|              0|
|            284|            500|       -204.343|              0|
|            285|           -500|        -163.32|              0|
|            286|       -399.845|        -163.32|              0|
|            287|       -319.722|        -163.32|              0|
|            288|       -255.623|        -163.32|              0|
|            289|       -204.343|        -163.32|              0|
|            290|        -163.32|        -163.32|              0|
|            291|       -130.501|        -163.32|              0|
|            292|       -104.246|        -163.32|              0|
|            293|       -83.2423|        -163.32|              0|
|            294|       -66.4392|        -163.32|              0|
|            295|       -52.9966|        -163.32|              0|
|            296|       -42.2426|        -163.32|              0|
|            297|       -33.6394|        -163.32|              0|
|            298|       -26.7568|        -163.32|              0|
|            299|       -21.2507|        -163.32|              0|
|            300|       -16.8459|        -163.32|              0|
|            301|        -13.322|        -163.32|              0|
|            302|       -10.5029|        -163.32|              0|
|            303|       -8.24761|        -163.32|              0|
|            304|       -6.44338|        -163.32|              0|
|            305|             -5|        -163.32|              0|
|            306|          -4.25|        -163.32|              0|
|            307|           -3.5|        -163.32|              0|
|            308|          -2.75|        -163.32|              0|
|            309|             -2|        -163.32|              0|
|            310|           -1.5|        -163.32|              0|
|            311|             -1|        -163.32|              0|
|            312|           -0.5|        -163.32|              0|
|            313|              0|        -163.32|              0|
|            314|            0.5|        -163.32|              0|
|            315|              1|        -163.32|              0|
|            316|            1.5|        -163.32|              0|
|            317|              2|        -163.32|              0|
|            318|           2.75|        -163.32|              0|
|            319|            3.5|        -163.32|              0|
|            320|           4.25|        -163.32|              0|
|            321|              5|        -163.32|              0|
|            322|        7.65148|        -163.32|              0|
|            323|        10.8333|        -163.32|              0|
|            324|        14.6514|        -163.32|              0|
|            325|        19.2332|        -163.32|              0|
|            326|        24.7313|        -163.32|              0|
|            327|         31.329|        -163.32|              0|
|            328|        39.2463|        -163.32|              0|
|            329|         48.747|        -163.32|              0|
|            330|        60.1479|        -163.32|              0|
|            331|         73.829|        -163.32|              0|
|            332|        90.2463|        -163.32|              0|
|            333|        109.947|        -163.32|              0|
|            334|        133.588|        -163.32|              0|
|            335|        161.957|        -163.32|              0|
|            336|            196|        -163.32|              0|
|            337|        236.851|        -163.32|              0|
|            338|        285.873|        -163.32|              0|
|            339|        344.699|        -163.32|              0|
|            340|         415.29|        -163.32|              0|
|            341|            500|        -163.32|              0|
|            342|           -500|       -130.501|              0|
|            343|       -399.845|       -130.501|              0|
|            344|       -319.722|       -130.501|              0|
